Europe Brent Spot Price FOB
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RBRTE&f=M
14:13:51 GMT+0200 (sentraleuropeisk sommertid)
Data Source: Thomson Reuters
Month,Europe Brent Spot Price FOB Dollars per Barrel
Mar 2006,62.06
Feb 2006,60.21
Jan 2006,62.99
Dec 2005,56.86
Nov 2005,55.24
Oct 2005,58.54
Sep 2005,62.91
Aug 2005,63.98
Jul 2005,57.52
Jun 2005,54.35
May 2005,48.65
Apr 2005,51.88
Mar 2005,53.1
Feb 2005,45.48
Jan 2005,44.51
Dec 2004,39.6
Nov 2004,43.11
Oct 2004,49.78
Sep 2004,43.2
Aug 2004,42.74
Jul 2004,38.22
Jun 2004,35.18
May 2004,37.57
Apr 2004,33.59
Mar 2004,33.63
Feb 2004,30.86
Jan 2004,31.28
Dec 2003,29.81
Nov 2003,28.75
Oct 2003,29.61
Sep 2003,27.11
Aug 2003,29.89
Jul 2003,28.35
Jun 2003,27.65
May 2003,25.86
Apr 2003,25
Mar 2003,30.61
Feb 2003,32.77
Jan 2003,31.18
Dec 2002,28.33
Nov 2002,24.34
Oct 2002,27.54
Sep 2002,28.4
Aug 2002,26.65
Jul 2002,25.74
Jun 2002,24.08
May 2002,25.35
Apr 2002,25.73
Mar 2002,23.7
Feb 2002,20.28
Jan 2002,19.42
Dec 2001,18.71
Nov 2001,18.8
Oct 2001,20.54
Sep 2001,25.62
Aug 2001,25.68
Jul 2001,24.61
Jun 2001,27.85
May 2001,28.31
Apr 2001,25.66
Mar 2001,24.5
Feb 2001,27.5
Jan 2001,25.62
Dec 2000,25.66
Nov 2000,32.55
Oct 2000,30.96
Sep 2000,33.14
Aug 2000,30.2
Jul 2000,28.68
Jun 2000,29.8
May 2000,27.74
Apr 2000,22.76
Mar 2000,27.49
Feb 2000,27.78
Jan 2000,25.51
Dec 1999,25.47
Nov 1999,24.58
Oct 1999,22
Sep 1999,22.54
Aug 1999,20.22
Jul 1999,19.08
Jun 1999,15.86
May 1999,15.23
Apr 1999,15.29
Mar 1999,12.51
Feb 1999,10.27
Jan 1999,11.11
Dec 1998,9.82
Nov 1998,11.04
Oct 1998,12.7
Sep 1998,13.34
Aug 1998,11.91
Jul 1998,12.08
Jun 1998,12.21
May 1998,14.36
Apr 1998,13.53
Mar 1998,13.1
Feb 1998,14.07
Jan 1998,15.19
Dec 1997,17.18
Nov 1997,19.17
Oct 1997,19.87
Sep 1997,18.46
Aug 1997,18.6
Jul 1997,18.46
Jun 1997,17.58
May 1997,19.02
Apr 1997,17.56
Mar 1997,19.13
Feb 1997,20.85
Jan 1997,23.54
Dec 1996,23.78
Nov 1996,22.76
Oct 1996,24.16
Sep 1996,22.63
Aug 1996,20.51
Jul 1996,19.57
Jun 1996,18.46
May 1996,19.15
Apr 1996,20.9
Mar 1996,19.85
Feb 1996,18
Jan 1996,17.85
Dec 1995,17.93
Nov 1995,16.86
Oct 1995,16.11
Sep 1995,16.7
Aug 1995,16.1
Jul 1995,15.85
Jun 1995,17.31
May 1995,18.35
Apr 1995,18.65
Mar 1995,17.01
Feb 1995,17.11
Jan 1995,16.55
Dec 1994,15.93
Nov 1994,17.19
Oct 1994,16.49
Sep 1994,15.9
Aug 1994,16.89
Jul 1994,17.6
Jun 1994,16.76
May 1994,16.19
Apr 1994,15.23
Mar 1994,13.82
Feb 1994,13.8
Jan 1994,14.29
Dec 1993,13.73
Nov 1993,15.2
Oct 1993,16.61
Sep 1993,16.01
Aug 1993,16.7
Jul 1993,16.78
Jun 1993,17.65
May 1993,18.51
Apr 1993,18.67
Mar 1993,18.79
Feb 1993,18.47
Jan 1993,17.39
Dec 1992,18.14
Nov 1992,19.21
Oct 1992,20.26
Sep 1992,20.27
Aug 1992,19.74
Jul 1992,20.24
Jun 1992,21.16
May 1992,19.89
Apr 1992,18.92
Mar 1992,17.63
Feb 1992,18.05
Jan 1992,18.16
Dec 1991,18.41
Nov 1991,21.11
Oct 1991,22.21
Sep 1991,20.5
Aug 1991,19.77
Jul 1991,19.4
Jun 1991,18.17
May 1991,19.19
Apr 1991,19.18
Mar 1991,19.08
Feb 1991,19.54
Jan 1991,23.57
Dec 1990,28.27
Nov 1990,33.07
Oct 1990,36.02
Sep 1990,34.9
Aug 1990,27.17
Jul 1990,17.17
Jun 1990,15.1
May 1990,16.35
Apr 1990,16.61
Mar 1990,18.39
Feb 1990,19.81
Jan 1990,21.25
Dec 1989,19.84
Nov 1989,18.73
Oct 1989,18.91
Sep 1989,17.77
Aug 1989,16.77
Jul 1989,17.62
Jun 1989,17.67
May 1989,18.63
Apr 1989,20.32
Mar 1989,18.7
Feb 1989,16.89
Jan 1989,17.17
Dec 1988,15.31
Nov 1988,13.02
Oct 1988,12.41
Sep 1988,13.18
Aug 1988,14.89
Jul 1988,14.91
Jun 1988,15.54
May 1988,16.31
Apr 1988,16.6
Mar 1988,14.73
Feb 1988,15.73
Jan 1988,16.75
Dec 1987,17.05
Nov 1987,17.78
Oct 1987,18.76
Sep 1987,18.31
Aug 1987,18.98
Jul 1987,19.86
Jun 1987,18.86
May 1987,18.58
