"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
422,169,"NOR","Norway",18,"Vest-Agder",422,"Songdalen","Kommuner","Municipality",NA,NA
423,169,"NOR","Norway",18,"Vest-Agder",423,"Vennesla","Kommuner","Municipality",NA,NA
424,169,"NOR","Norway",19,"Vestfold",424,"Andebu","Kommuner","Municipality",NA,NA
425,169,"NOR","Norway",19,"Vestfold",425,"Borre","Kommuner","Municipality",NA,NA
426,169,"NOR","Norway",19,"Vestfold",426,"Hof","Kommuner","Municipality",NA,NA
427,169,"NOR","Norway",19,"Vestfold",427,"Holmestrand","Kommuner","Municipality",NA,NA
428,169,"NOR","Norway",19,"Vestfold",428,"Lardal","Kommuner","Municipality",NA,NA
429,169,"NOR","Norway",19,"Vestfold",429,"Larvik","Kommuner","Municipality",NA,NA
430,169,"NOR","Norway",19,"Vestfold",430,"Nøtterøy","Kommuner","Municipality",NA,NA
431,169,"NOR","Norway",19,"Vestfold",431,"Ramnes","Kommuner","Municipality",NA,NA
432,169,"NOR","Norway",19,"Vestfold",432,"Sandefjord","Kommuner","Municipality",NA,NA
433,169,"NOR","Norway",19,"Vestfold",433,"Sande","Kommuner","Municipality",NA,NA
434,169,"NOR","Norway",19,"Vestfold",434,"Stokke","Kommuner","Municipality",NA,NA
435,169,"NOR","Norway",19,"Vestfold",435,"Svelvik","Kommuner","Municipality",NA,NA
436,169,"NOR","Norway",19,"Vestfold",436,"Tønsberg","Kommuner","Municipality",NA,NA
437,169,"NOR","Norway",19,"Vestfold",437,"Tjøme","Kommuner","Municipality",NA,NA
438,169,"NOR","Norway",19,"Vestfold",438,"Vaale","Kommuner","Municipality",NA,NA
