Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh, Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
ERCOT North 345KV Peak,12/31/2015,1/4/2016,1/4/2016,23.75,23.75,23.75,2.52,800,1,2
ERCOT North 345KV Peak,1/4/2016,1/5/2016,1/5/2016,22.75,22.5,22.63,-1.12,1 600,2,2
ERCOT North 345KV Peak,1/5/2016,1/6/2016,1/6/2016,20,19.75,19.81,-2.82,14 400,15,10
ERCOT North 345KV Peak,1/6/2016,1/7/2016,1/7/2016,19,18.5,18.61,-1.2,16 000,20,9
ERCOT North 345KV Peak,1/7/2016,1/8/2016,1/8/2016,20,19.75,19.98,1.37,8 800,11,9
ERCOT North 345KV Peak,1/8/2016,1/11/2016,1/11/2016,27.5,27.5,27.5,7.52,9 600,11,4
ERCOT North 345KV Peak,1/11/2016,1/12/2016,1/12/2016,22,22,22,-5.5,1 600,2,2
ERCOT North 345KV Peak,1/12/2016,1/13/2016,1/13/2016,20,20,20,-2,800,1,2
ERCOT North 345KV Peak,1/13/2016,1/14/2016,1/14/2016,19.25,18.5,18.94,-1.06,3 200,4,7
ERCOT North 345KV Peak,1/15/2016,1/15/2016,1/15/2016,20,19.75,19.88,0.94,1 600,2,4
ERCOT North 345KV Peak,1/15/2016,1/18/2016,1/18/2016,22.25,22,22.08,2.2,2 400,3,3
ERCOT North 345KV Peak,1/19/2016,1/20/2016,1/20/2016,20.5,20,20.31,-1.77,13 600,17,10
ERCOT North 345KV Peak,1/20/2016,1/21/2016,1/21/2016,19,18.75,18.88,-1.43,1 600,2,3
ERCOT North 345KV Peak,1/21/2016,1/22/2016,1/22/2016,23.25,23.25,23.25,4.37,1 600,2,3
ERCOT North 345KV Peak,1/22/2016,1/25/2016,1/25/2016,19.25,19.25,19.25,-4,800,1,2
ERCOT North 345KV Peak,1/25/2016,1/26/2016,1/26/2016,21.5,21.25,21.44,2.19,3 200,4,6
ERCOT North 345KV Peak,1/26/2016,1/27/2016,1/27/2016,25.5,25,25.25,3.81,9 600,12,11
ERCOT North 345KV Peak,1/27/2016,1/28/2016,1/28/2016,25,24.25,24.6,-0.65,4 000,4,5
ERCOT North 345KV Peak,1/28/2016,1/29/2016,1/29/2016,18.5,18.25,18.45,-6.15,4 000,5,6
ERCOT North 345KV Peak,1/29/2016,2/1/2016,2/1/2016,19.5,18,18.84,0.39,16 000,19,12
ERCOT North 345KV Peak,2/1/2016,2/2/2016,2/2/2016,18.75,18.2,18.48,-0.36,1 600,2,3
ERCOT North 345KV Peak,2/3/2016,2/3/2016,2/3/2016,21.25,20.5,21.03,2.55,16 000,16,11
ERCOT North 345KV Peak,2/3/2016,2/4/2016,2/4/2016,21.5,21.25,21.43,0.4,5 600,7,8
ERCOT North 345KV Peak,2/5/2016,2/8/2016,2/8/2016,19.25,18.5,18.93,-2.5,12 000,12,9
ERCOT North 345KV Peak,2/8/2016,2/9/2016,2/9/2016,20,20,20,1.07,4 000,5,4
ERCOT North 345KV Peak,2/9/2016,2/10/2016,2/10/2016,18.25,18,18.06,-1.94,6 400,7,8
ERCOT North 345KV Peak,2/10/2016,2/11/2016,2/11/2016,17.75,17.25,17.53,-0.53,2 400,3,5
ERCOT North 345KV Peak,2/11/2016,2/12/2016,2/12/2016,19.2,19,19.07,1.54,2 400,3,5
ERCOT North 345KV Peak,2/16/2016,2/17/2016,2/17/2016,16.75,16.5,16.7,-2.37,4 000,3,5
ERCOT North 345KV Peak,2/17/2016,2/18/2016,2/18/2016,14.5,14,14.41,-2.29,12 800,15,8
ERCOT North 345KV Peak,2/18/2016,2/19/2016,2/19/2016,17,17,17,2.59,1 600,2,2
ERCOT North 345KV Peak,2/19/2016,2/22/2016,2/22/2016,18,18,18,1,3 200,4,3
ERCOT North 345KV Peak,2/22/2016,2/23/2016,2/23/2016,16.25,15.75,16.06,-1.94,6 400,7,8
ERCOT North 345KV Peak,2/23/2016,2/24/2016,2/24/2016,18.25,18.25,18.25,2.19,2 400,3,4
ERCOT North 345KV Peak,2/24/2016,2/25/2016,2/25/2016,19.5,19.5,19.5,1.25,800,1,2
ERCOT North 345KV Peak,2/25/2016,2/26/2016,2/26/2016,18.5,18.25,18.36,-1.14,11 200,14,10
ERCOT North 345KV Peak,2/26/2016,2/29/2016,2/29/2016,17,17,17,-1.36,4 800,6,4
ERCOT North 345KV Peak,2/29/2016,3/1/2016,3/1/2016,20,18.25,19.06,2.06,12 800,16,11
ERCOT North 345KV Peak,3/1/2016,3/2/2016,3/2/2016,16.25,16.25,16.25,-2.81,800,1,2
ERCOT North 345KV Peak,3/7/2016,3/8/2016,3/8/2016,19,19,19,2.75,800,1,2
ERCOT North 345KV Peak,3/8/2016,3/9/2016,3/9/2016,20.5,19.5,20.13,1.13,4 800,6,5
ERCOT North 345KV Peak,3/9/2016,3/10/2016,3/10/2016,15.75,15.25,15.35,-4.78,4 000,4,6
ERCOT North 345KV Peak,3/10/2016,3/11/2016,3/11/2016,22,20,21,5.65,1 600,2,3
ERCOT North 345KV Peak,3/11/2016,3/14/2016,3/14/2016,29,29,29,8,3 200,4,4
ERCOT North 345KV Peak,3/14/2016,3/15/2016,3/15/2016,31,29.5,30.17,1.17,2 400,3,3
ERCOT North 345KV Peak,3/17/2016,3/18/2016,3/18/2016,21,19.75,20.54,-9.63,4 800,6,4
ERCOT North 345KV Peak,3/18/2016,3/21/2016,3/21/2016,19.75,19.75,19.75,-0.79,800,1,2
ERCOT North 345KV Peak,3/21/2016,3/22/2016,3/22/2016,17.5,17.35,17.48,-2.27,5 600,7,9
ERCOT North 345KV Peak,3/22/2016,3/23/2016,3/23/2016,19,18.75,18.94,1.46,3 200,4,6
ERCOT North 345KV Peak,3/23/2016,3/24/2016,3/24/2016,22,22,22,3.06,4 000,5,6
ERCOT North 345KV Peak,3/24/2016,3/25/2016,3/25/2016,18,18,18,-4,2 400,3,5
ERCOT North 345KV Peak,3/28/2016,3/29/2016,3/29/2016,18,17.5,17.64,-0.36,7 200,9,6
ERCOT North 345KV Peak,3/29/2016,3/30/2016,3/30/2016,20.5,19.75,20.01,2.37,19 200,23,9
ERCOT North 345KV Peak,3/30/2016,3/31/2016,3/31/2016,24,23.5,23.68,3.67,8 000,10,6
ERCOT North 345KV Peak,3/31/2016,4/1/2016,4/1/2016,20,19.5,19.95,-3.73,15 200,18,10
ERCOT North 345KV Peak,4/1/2016,4/4/2016,4/4/2016,27,27,27,7.05,800,1,2
ERCOT North 345KV Peak,4/4/2016,4/5/2016,4/5/2016,19.75,19,19.5,-7.5,8 800,11,7
ERCOT North 345KV Peak,4/5/2016,4/6/2016,4/6/2016,25,24.5,24.69,5.19,3 200,4,4
ERCOT North 345KV Peak,4/6/2016,4/7/2016,4/7/2016,28.75,28.75,28.75,4.06,800,1,2
ERCOT North 345KV Peak,4/7/2016,4/8/2016,4/8/2016,19.25,19,19.05,-9.7,4 000,5,5
ERCOT North 345KV Peak,4/8/2016,4/11/2016,4/11/2016,26.25,25.5,25.64,6.59,19 200,24,12
