Price Hub,Trade Date,Delivery Start Date,Delivery End Date, High Price $/MWh , Low Price $/MWh , Wtd Avg Price $/MWh , Change , Daily Volume MWh ,Number of Trades,Number of Counterparties,
Indiana Rt Peak,06/07/13,06/10/13,06/10/13,36.5,36.5,36.5,4.50 ,4000,5,4,
Indiana Rt Peak,06/10/13,06/11/13,06/11/13,43.5,42,42.35,5.85 ,4000,5,7,
Indiana Rt Peak,06/11/13,06/12/13,06/12/13,43.5,43,43.22,0.87 ,13600,17,14,
Indiana Rt Peak,06/12/13,06/13/13,06/13/13,35,34,34.45,(8.77),4000,5,7,
Indiana Rt Peak,06/13/13,06/14/13,06/14/13,35,33.5,34.08,(0.37),9600,12,13,
Indiana Rt Peak,06/14/13,06/17/13,06/17/13,37,37,37,2.92 ,800,1,2,
Indiana Rt Peak,06/17/13,06/18/13,06/18/13,42,41,41.6,4.60 ,9600,12,11,
Indiana Rt Peak,06/18/13,06/19/13,06/19/13,36.5,35.5,36.08,(5.52),4800,6,7,
Indiana Rt Peak,06/19/13,06/20/13,06/20/13,42.5,42.45,42.48,6.40 ,1600,2,2,
Indiana Rt Peak,06/21/13,06/24/13,06/24/13,63,61,62,19.52 ,1600,2,4,
Indiana Rt Peak,06/24/13,06/25/13,06/25/13,61.75,61.5,61.58,(0.42),2400,3,5,
Indiana Rt Peak,06/25/13,06/26/13,06/26/13,60,55,56.97,(4.61),7200,9,7,
Indiana Rt Peak,06/26/13,06/27/13,06/27/13,50.5,50.5,50.5,(6.47),1600,2,2,
Indiana Rt Peak,06/27/13,06/28/13,06/28/13,41.25,39.5,40.38,(10.12),1600,2,4,
Indiana Rt Peak,06/28/13,07/01/13,07/01/13,36,33.5,34.81,(5.57),10400,13,10,
Indiana Rt Peak,07/01/13,07/02/13,07/02/13,33,32.25,32.67,(2.14),2400,3,4,
Indiana Rt Peak,07/02/13,07/03/13,07/03/13,32.5,31.75,31.88,(0.79),8000,10,10,
Indiana Rt Peak,07/03/13,07/05/13,07/05/13,36.5,36,36.25,4.37 ,2400,3,6,
Indiana Rt Peak,07/05/13,07/08/13,07/08/13,45.5,44.75,45.35,9.10 ,4000,5,8,
Indiana Rt Peak,07/09/13,07/10/13,07/10/13,40.5,38.75,39.82,(7.50),8800,11,8,
Indiana Rt Peak,07/10/13,07/11/13,07/11/13,34,33.5,33.76,(6.06),11200,13,7,
Indiana Rt Peak,07/11/13,07/12/13,07/12/13,32.5,31,31.75,(2.01),12000,14,10,
Indiana Rt Peak,07/12/13,07/15/13,07/15/13,48.5,47,48.06,16.31 ,8000,10,13,
Indiana Rt Peak,07/15/13,07/16/13,07/16/13,75,65,69.18,21.12 ,6400,8,12,
Indiana Rt Peak,07/16/13,07/17/13,07/17/13,72.6,70,71.11,1.93 ,11200,14,11,
Indiana Rt Peak,07/17/13,07/18/13,07/18/13,67.25,66.75,67.13,(3.98),3200,4,4,
Indiana Rt Peak,07/18/13,07/19/13,07/19/13,59.85,59,59.58,(7.55),4000,5,6,
Indiana Rt Peak,07/19/13,07/22/13,07/22/13,40.75,40,40.25,(19.33),2400,3,4,
Indiana Rt Peak,07/22/13,07/23/13,07/23/13,40,38,38.72,(1.53),6 400,8,10,
Indiana Rt Peak,07/23/13,07/24/13,07/24/13,35,34,34.39,(4.33),5 600,7,10,
Indiana Rt Peak,07/24/13,07/25/13,07/25/13,32,31.75,31.94,(2.45),3 200,4,5,
Indiana Rt Peak,07/25/13,07/26/13,07/26/13,33,31,31.8,(0.14),4 000,5,6,
Indiana Rt Peak,07/26/13,07/29/13,07/29/13,31.5,30.75,31.1,(0.70),6 400,8,9,
Indiana Rt Peak,07/29/13,07/30/13,07/30/13,32.25,32,32.08,0.98 ,4 800,6,7,
Indiana Rt Peak,07/30/13,07/31/13,07/31/13,32.75,32,32.27,0.19 ,9 600,11,12,
Indiana Rt Peak,07/31/13,08/01/13,08/01/13,34.75,34,34.4,2.13 ,10 400,11,12,
Indiana Rt Peak,08/01/13,08/02/13,08/02/13,32.25,31.5,31.76,(2.64),8 000,9,9,
Indiana Rt Peak,08/05/13,08/06/13,08/06/13,33,32.25,32.58,0.82 ,17 600,22,17,
Indiana Rt Peak,08/06/13,08/07/13,08/07/13,36.25,34.5,35.06,2.48 ,7 200,9,9,
Indiana Rt Peak,08/05/13,08/06/13,08/06/13,33,32.25,32.58,0.82 ,17 600,22,17,
Indiana Rt Peak,08/06/13,08/07/13,08/07/13,36.25,34.5,35.06,2.48 ,7 200,9,9,
Indiana Rt Peak,08/08/13,08/09/13,08/09/13,34,33,33.79,(1.27),5 600,7,7,
Indiana Rt Peak,08/09/13,08/12/13,08/12/13,35,34,34.5,0.71 ,1 600,2,4,
Indiana Rt Peak,08/12/13,08/13/13,08/13/13,32.75,32,32.45,(2.05),8 800,11,9,
Indiana Rt Peak,08/13/13,08/14/13,08/14/13,30.5,29.5,29.81,(2.64),8 800,9,8,
Indiana Rt Peak,08/14/13,08/15/13,08/15/13,28.75,28.5,28.63,(1.18),3 200,4,6,
Indiana Rt Peak,08/15/13,08/16/13,08/16/13,30.25,29.75,30.08,1.45 ,6 400,8,9,
Indiana Rt Peak,08/16/13,08/19/13,08/19/13,37,37,37,6.92 ,2 400,3,4,
Indiana Rt Peak,08/19/13,08/20/13,08/20/13,40,39,39.58,2.58 ,2400,3,4,
Indiana Rt Peak,08/20/13,08/21/13,08/21/13,45,44.25,44.58,5.00 ,2400,3,6,
Indiana Rt Peak,08/21/13,08/22/13,08/22/13,40.25,40.25,40.25,(4.33),800,1,2,
Indiana Rt Peak,08/23/13,08/26/13,08/26/13,50.25,49,49.89,9.64 ,12800,16,11,
Indiana Rt Peak,08/26/13,08/27/13,08/27/13,53.35,53,53.22,3.33 ,2400,3,6,
Indiana Rt Peak,08/27/13,08/28/13,08/28/13,48,46,46.85,(6.37),4000,5,7,
Indiana Rt Peak,08/28/13,08/29/13,08/29/13,41.5,40.25,41,(5.85),5600,7,8,
Indiana Rt Peak,08/29/13,08/30/13,08/30/13,44,42,42.79,1.79 ,4000,5,7,
Indiana Rt Peak,09/05/13,09/06/13,09/06/13,35.05,34,34.63,(8.16),15200,19,20,
Indiana Rt Peak,09/06/13,09/09/13,09/09/13,43.8,42.5,43.44,8.81 ,14400,18,9,
Indiana Rt Peak,09/09/13,09/10/13,09/10/13,55,54,54.73,11.29 ,7200,9,10,
Indiana Rt Peak,09/10/13,09/11/13,09/11/13,63.8,62,62.95,8.22 ,11200,14,11,
Indiana Rt Peak,09/11/13,09/12/13,09/12/13,45,41.5,43.25,(19.70),1600,2,4,
Indiana Rt Peak,09/13/13,09/16/13,09/16/13,31,31,31,(12.25),800,1,2,
Indiana Rt Peak,09/17/13,09/18/13,18-Sep-13,32,31.5,31.73,0.73,4 800,6,7,
Indiana Rt Peak,09/18/13,09/19/13,19-Sep-13,35.5,35.25,35.45,3.72,4 000,5,5,
Indiana Rt Peak,09/19/13,09/20/13,20-Sep-13,32.5,32.5,32.5,-2.95,1 600,2,2,
Indiana Rt Peak,09/20/13,09/23/13,23-Sep-13,32,32,32,-0.5,800,1,2,
Indiana Rt Peak,09/23/13,09/24/13,24-Sep-13,33.25,33.25,33.25,1.25,800,1,2,
Indiana Rt Peak,09/24/13,09/25/13,25-Sep-13,33.5,33.5,33.5,0.25,800,1,2,
Indiana Rt Peak,09/25/13,09/26/13,26-Sep-13,34.1,33.85,33.98,0.48,1 600,2,3,
Indiana Rt Peak,09/26/13,09/27/13,27-Sep-13,34.95,34.75,34.85,0.87,4 000,5,4,
Indiana Rt Peak,09/30/13,10/01/13,10/01/13,40.5,38.25,39.78,4.93 ,12000,15,8,
Indiana Rt Peak,10/01/13,10/02/13,10/02/13,43,40,41.15,1.37 ,10400,13,10,
Indiana Rt Peak,10/02/13,10/03/13,10/03/13,38,37.75,37.94,(3.21),7200,9,10,
Indiana Rt Peak,10/03/13,10/04/13,10/04/13,39,38.5,38.81,0.87 ,9600,12,11,
Indiana Rt Peak,10/07/13,10/08/13,10/08/13,32.75,32.75,32.75,(6.06),2400,3,4,
Indiana Rt Peak,10/08/13,10/09/13,10/09/13,33.75,33.75,33.75,1.00 ,1600,2,3,
Indiana Rt Peak,10/10/13,10/11/13,10/11/13,30.5,30.5,30.5,(3.25),800,1,2,
Indiana Rt Peak,10/14/13,10/15/13,10/15/13,32.75,32.25,32.56,2.06 ,3200,3,6,
Indiana Rt Peak,10/15/13,10/16/13,10/16/13,33.5,33.5,33.5,0.94 ,800,1,2,
Indiana Rt Peak,10/16/13,10/17/13,10/17/13,36.75,35.5,36,2.50 ,7200,9,10,
Indiana Rt Peak,10/17/13,10/18/13,10/18/13,34.5,34,34.25,(1.75),2400,3,6,
Indiana Rt Peak,10/18/13,10/21/13,10/21/13,38,37,37.5,3.25 ,1600,2,4,
Indiana Rt Peak,10/21/13,10/22/13,10/22/13,39.25,38.25,38.83,1.33 ,4800,6,9,
Indiana Rt Peak,10/22/13,10/23/13,10/23/13,42.25,41,41.53,2.70 ,8000,9,10,
Indiana Rt Peak,10/23/13,10/24/13,10/24/13,39.5,38.4,38.84,(2.69),9600,12,12,
Indiana Rt Peak,10/24/13,10/25/13,10/25/13,40.25,38.55,39.08,0.24 ,8800,11,9,
Indiana Rt Peak,10/25/13,10/28/13,10/28/13,37.5,37.5,37.5,(1.58),800,1,2,
Indiana Rt Peak,10/28/13,10/29/13,10/29/13,37,37,37,(0.50),800,1,2,
Indiana Rt Peak,10/29/13,10/30/13,10/30/13,35.2,35,35.1,(1.90),1600,2,4,
Indiana Rt Peak,10/30/13,10/31/13,10/31/13,36.75,35,36.05,0.95 ,4000,5,7,
Indiana Rt Peak,10/31/13,11/01/13,11/01/13,32.25,32.05,32.2,(3.85),3200,4,6,
Indiana Rt Peak,11/01/13,11/04/13,11/04/13,36.35,36,36.18,3.98 ,1600,2,4,
Indiana Rt Peak,11/04/13,11/05/13,11/05/13,36.5,35,35.39,(0.79),8800,11,10,
Indiana Rt Peak,11/05/13,11/06/13,11/06/13,34.4,33.4,33.91,(1.48),7200,6,9,
Indiana Rt Peak,11/06/13,11/07/13,11/07/13,35.25,34,34.43,0.52 ,5600,7,7,
Indiana Rt Peak,11/07/13,11/08/13,11/08/13,32.95,32.95,32.95,(1.48),1600,2,3,
Indiana Rt Peak,11/08/13,11/11/13,11/11/13,35.3,34.5,34.9,1.95 ,1600,2,3,
Indiana Rt Peak,11/11/13,11/12/13,11/12/13,38.3,37.85,38,3.10 ,3200,4,7,
Indiana Rt Peak,11/12/13,11/13/13,11/13/13,40,38.25,38.88,0.88 ,8000,10,14,
Indiana Rt Peak,11/13/13,11/14/13,11/14/13,35.75,35.25,35.38,(3.50),3200,4,7,
Indiana Rt Peak,11/14/13,11/15/13,11/15/13,33.75,33.25,33.51,(1.87),4000,5,9,
Indiana Rt Peak,11/15/13,11/18/13,11/18/13,33.65,33.65,33.65,0.14 ,2400,3,4,
Indiana Rt Peak,11/18/13,11/19/13,11/19/13,36,36,36,2.35 ,800,1,2,
Indiana Rt Peak,11/19/13,11/20/13,11/20/13,37,36.25,36.57,0.57 ,8000,8,6,
Indiana Rt Peak,11/20/13,11/21/13,11/21/13,35.35,35,35.1,(1.47),3200,4,7,
Indiana Rt Peak,11/21/13,11/22/13,11/22/13,33.3,32.55,33.04,(2.06),3200,4,7,
Indiana Rt Peak,11/22/13,11/25/13,11/25/13,40.9,38,39.45,6.41 ,1600,2,4,
Indiana Rt Peak,11/25/13,11/26/13,11/26/13,38.25,37.5,37.86,(1.59),5600,7,8,
Indiana Rt Peak,11/26/13,11/27/13,11/27/13,36.25,35.55,35.95,(1.91),3200,4,6,
Indiana Rt Peak,11/27/13,11/29/13,11/29/13,32.05,31.6,31.81,(4.14),3200,4,6,
Indiana Rt Peak,12/02/13,12/03/13,12/03/13,33.75,33.45,33.59,1.78 ,4000,5,6,
Indiana Rt Peak,12/03/13,12/04/13,12/04/13,33.95,33.25,33.48,(0.11),4000,5,5,
Indiana Rt Peak,12/04/13,12/05/13,12/05/13,36.2,35.75,36,2.52 ,12000,15,12,
Indiana Rt Peak,12/05/13,12/06/13,12/06/13,38.1,37,37.52,1.52 ,14400,14,11,
Indiana Rt Peak,12/06/13,12/09/13,12/09/13,44.3,42,43.46,5.94 ,7200,6,8,
Indiana Rt Peak,12/09/13,12/10/13,12/10/13,44.75,44,44.43,0.97 ,12000,15,13,
Indiana Rt Peak,12/10/13,12/11/13,12/11/13,53.2,52.35,53.04,8.61 ,9600,12,7,
Indiana Rt Peak,12/11/13,12/12/13,12/12/13,53.05,51,52.36,(0.68),16000,16,13,
Indiana Rt Peak,12/12/13,12/13/13,12/13/13,46,44.25,45.22,(7.14),9600,12,10,
Indiana Rt Peak,12/13/13,12/16/13,12/16/13,43.55,43.55,43.55,(1.67),2400,3,3,
Indiana Rt Peak,12/16/13,12/17/13,12/17/13,43.5,38.5,40.11,(3.44),4000,5,6,
Indiana Rt Peak,12/17/13,12/18/13,12/18/13,37.75,37,37.27,(2.84),6400,8,7,
Indiana Rt Peak,12/18/13,12/19/13,12/19/13,34.4,33.5,33.82,(3.45),5600,7,7,
Indiana Rt Peak,12/19/13,12/20/13,12/20/13,34.5,34,34.2,0.38 ,4000,5,7,
Indiana Rt Peak,12/20/13,12/23/13,12/23/13,44.25,42.35,43.12,8.92 ,7200,9,9,
Indiana Rt Peak,12/23/13,12/24/13,12/24/13,36.05,35.5,35.89,(7.23),3200,4,6,
Indiana Rt Peak,12/27/13,12/30/13,12/30/13,41.5,35,37.54,1.65 ,6400,7,7,
Indiana Rt Peak,12/30/13,12/31/13,12/31/13,39.9,39.25,39.57,2.03 ,4000,5,6,
Indiana Rt Peak,12/31/13,01/02/14,01/02/14,42.85,42.4,42.63,3.06 ,1600,2,4,
