Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh, Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
ERCOT North 345KV Peak,1/4/2018,1/5/2018,1/5/2018,42,36,39,16,1 600,2,4
ERCOT North 345KV Peak,1/11/2018,1/12/2018,1/12/2018,34,34,34,-5,800,1,2
ERCOT North 345KV Peak,1/15/2018,1/16/2018,1/16/2018,80,75,77.5,43.5,1 600,2,4
ERCOT North 345KV Peak,1/18/2018,1/19/2018,1/19/2018,31,31,31,-46.5,800,1,2
ERCOT North 345KV Peak,1/22/2018,1/23/2018,1/23/2018,27.5,27.25,27.38,-3.62,1 600,2,3
ERCOT North 345KV Peak,1/24/2018,1/25/2018,1/25/2018,26,25.75,25.92,-1.46,2 400,3,3
ERCOT North 345KV Peak,1/25/2018,1/26/2018,1/26/2018,25.25,25,25.13,-0.79,1 600,2,3
ERCOT North 345KV Peak,1/29/2018,1/30/2018,1/30/2018,26,26,26,0.87,2 400,3,3
ERCOT North 345KV Peak,2/1/2018,2/2/2018,2/2/2018,25.5,25,25.25,-0.75,5 600,6,5
ERCOT North 345KV Peak,2/6/2018,2/7/2018,2/7/2018,27,25.5,26.25,1,3 200,4,3
ERCOT North 345KV Peak,2/8/2018,2/9/2018,2/9/2018,21.5,21.5,21.5,-4.75,9 600,4,4
ERCOT North 345KV Peak,2/16/2018,2/19/2018,2/19/2018,22,20.25,21.19,-0.31,12 800,15,7
ERCOT North 345KV Peak,2/20/2018,2/21/2018,2/21/2018,26,24.75,25.4,4.21,4 000,5,4
ERCOT North 345KV Peak,2/21/2018,2/22/2018,2/22/2018,33,32.5,32.9,7.5,4 800,6,5
ERCOT North 345KV Peak,2/22/2018,2/23/2018,2/23/2018,26,26,26,-6.9,2 400,3,4
ERCOT North 345KV Peak,2/23/2018,2/26/2018,2/26/2018,26,26,26,0,1 600,2,2
ERCOT North 345KV Peak,2/26/2018,2/27/2018,2/27/2018,23,22.75,22.91,-3.09,8 800,3,4
ERCOT North 345KV Peak,3/2/2018,3/5/2018,3/5/2018,25.75,24.5,25.15,2.24,9 600,12,6
ERCOT North 345KV Peak,3/5/2018,3/6/2018,3/6/2018,28,28,28,2.85,800,1,2
ERCOT North 345KV Peak,3/6/2018,3/7/2018,3/7/2018,29.75,29.75,29.75,1.75,800,1,2
ERCOT North 345KV Peak,3/9/2018,3/12/2018,3/12/2018,28,28,28,-1.75,800,1,2
ERCOT North 345KV Peak,3/12/2018,3/13/2018,3/13/2018,31,30,30.42,2.42,7 200,9,4
ERCOT North 345KV Peak,3/16/2018,3/19/2018,3/19/2018,26,26,26,-4.42,800,1,2
ERCOT North 345KV Peak,3/19/2018,3/20/2018,3/20/2018,26.5,26.5,26.5,0.5,800,1,2
ERCOT North 345KV Peak,3/21/2018,3/22/2018,3/22/2018,24,24,24,-2.5,1 600,2,3
ERCOT North 345KV Peak,3/26/2018,3/27/2018,3/27/2018,30.5,30.5,30.5,6.5,800,1,2
ERCOT North 345KV Peak,3/27/2018,3/28/2018,3/28/2018,30.5,30.5,30.5,0,10 400,12,8
ERCOT North 345KV Peak,3/28/2018,3/29/2018,3/29/2018,29,29,29,-1.5,4 000,5,6
ERCOT North 345KV Peak,3/29/2018,3/30/2018,3/30/2018,26.5,26.5,26.5,-2.5,3 200,1,2
ERCOT North 345KV Peak,4/4/2018,4/5/2018,4/5/2018,27,27,27,0.5,800,1,2
ERCOT North 345KV Peak,4/9/2018,4/10/2018,4/10/2018,31,30,30.5,3.5,1 600,2,3
ERCOT North 345KV Peak,4/11/2018,4/12/2018,4/12/2018,25,24.5,24.6,-5.9,4 000,3,2
ERCOT North 345KV Peak,4/13/2018,4/16/2018,4/16/2018,26,25,25.67,1.07,2 400,3,4
ERCOT North 345KV Peak,4/16/2018,4/17/2018,4/17/2018,28,28,28,2.33,1 600,2,2
ERCOT North 345KV Peak,4/17/2018,4/18/2018,4/18/2018,32,31.5,31.9,3.9,4 000,5,4
ERCOT North 345KV Peak,4/20/2018,4/23/2018,4/23/2018,29.25,29,29.17,-2.73,2 400,3,4
ERCOT North 345KV Peak,4/23/2018,4/24/2018,4/24/2018,32,31.5,31.64,2.47,5 600,6,4
ERCOT North 345KV Peak,4/25/2018,4/26/2018,4/26/2018,28,28,28,-3.64,800,1,2
ERCOT North 345KV Peak,4/30/2018,5/1/2018,5/1/2018,27.5,27.5,27.5,-0.5,5 600,6,4
ERCOT North 345KV Peak,5/1/2018,5/2/2018,5/2/2018,31,30.75,30.87,3.37,2 400,3,4
ERCOT North 345KV Peak,5/2/2018,5/3/2018,5/3/2018,32,31.5,31.75,0.88,1 600,2,3
ERCOT North 345KV Peak,5/7/2018,5/8/2018,5/8/2018,32.5,32.5,32.5,0.75,800,1,2
ERCOT North 345KV Peak,5/18/2018,5/21/2018,5/21/2018,43,43,43,10.5,800,1,2
ERCOT North 345KV Peak,6/1/2018,6/4/2018,6/4/2018,43,43,43,0,5 600,7,4
ERCOT North 345KV Peak,6/5/2018,6/6/2018,6/6/2018,42,41,41.5,-1.5,1 600,2,3
ERCOT North 345KV Peak,6/7/2018,6/8/2018,6/8/2018,37,37,37,-4.5,1 600,2,2
Indiana Hub RT Peak,1/3/2018,1/4/2018,1/4/2018,100,90,94.51,29.51,7 200,9,12
Indiana Hub RT Peak,1/4/2018,1/5/2018,1/5/2018,150,130,136.3,41.79,18 400,23,15
Indiana Hub RT Peak,1/10/2018,1/11/2018,1/11/2018,27.25,27.25,27.25,-7.75,800,1,2
Indiana Hub RT Peak,1/11/2018,1/12/2018,1/12/2018,37,36.5,36.86,9.61,6 400,8,9
Indiana Hub RT Peak,1/16/2018,1/17/2018,1/17/2018,73.9,68,70.79,33.93,5 600,7,9
Indiana Hub RT Peak,1/17/2018,1/18/2018,1/18/2018,47.5,46,46.96,-23.83,4 800,6,8
Indiana Hub RT Peak,1/19/2018,1/22/2018,1/22/2018,29,29,29,-17.96,800,1,2
Indiana Hub RT Peak,1/22/2018,1/23/2018,1/23/2018,28.5,28.5,28.5,-0.5,800,1,2
Indiana Hub RT Peak,1/23/2018,1/24/2018,1/24/2018,30.5,30.5,30.5,2,800,1,2
Indiana Hub RT Peak,1/24/2018,1/25/2018,1/25/2018,32.15,32.15,32.15,1.65,800,1,2
Indiana Hub RT Peak,1/25/2018,1/26/2018,1/26/2018,27.65,27.65,27.65,-4.5,800,1,2
