Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh, Low Price $/MWh , Wtd Avg Price $/MWh ,Change, Daily Volume MWh ,Number of Trades,Number of Counterparties
ERCOT North 345KV Peak,4/14/2014,4/15/2014,4/15/2014,55,53,54.29,12.54,24 000,29,15
ERCOT North 345KV Peak,4/15/2014,4/16/2014,4/16/2014,41.5,40.5,41.05,-13.24,24 800,29,15
ERCOT North 345KV Peak,4/16/2014,4/17/2014,4/17/2014,41.5,40.75,41.17,0.12,7 200,9,11
ERCOT North 345KV Peak,4/17/2014,4/18/2014,4/18/2014,44,42,43.19,2.02,6 400,7,7
ERCOT North 345KV Peak,4/21/2014,4/22/2014,4/22/2014,55.25,55,55.04,11.85,11 200,14,11
ERCOT North 345KV Peak,4/22/2014,4/23/2014,4/23/2014,50.5,50,50.25,-4.79,2 400,3,6
ERCOT North 345KV Peak,4/23/2014,4/24/2014,4/24/2014,59,58,58.36,8.11,12 800,15,12
ERCOT North 345KV Peak,4/24/2014,4/25/2014,4/25/2014,53,50.5,52.01,-6.35,39 200,39,9
ERCOT North 345KV Peak,4/25/2014,4/28/2014,4/28/2014,58.5,57.4,57.68,5.67,10 400,13,10
ERCOT North 345KV Peak,4/28/2014,4/29/2014,4/29/2014,43.75,41.5,43.09,-14.59,14 400,18,10
ERCOT North 345KV Peak,4/29/2014,4/30/2014,4/30/2014,40,39.25,39.58,-3.51,16 000,20,10
ERCOT North 345KV Peak,4/30/2014,5/1/2014,5/1/2014,41.5,40.25,41.06,1.48,16 000,20,13
ERCOT North 345KV Peak,5/1/2014,5/2/2014,5/2/2014,42,40.05,40.83,-0.23,15 200,19,8
ERCOT North 345KV Peak,5/2/2014,5/5/2014,5/5/2014,54,53,53.13,12.3,23 200,27,13
ERCOT North 345KV Peak,5/5/2014,5/6/2014,5/6/2014,46,45,45.75,-7.38,9 600,10,9
ERCOT North 345KV Peak,5/6/2014,5/7/2014,5/7/2014,44,43,43.43,-2.32,8 000,10,9
ERCOT North 345KV Peak,5/7/2014,5/8/2014,5/8/2014,44.5,44,44.09,0.66,18 400,22,11
ERCOT North 345KV Peak,5/8/2014,5/9/2014,5/9/2014,52.25,50,51.06,6.97,12 800,12,11
ERCOT North 345KV Peak,5/9/2014,5/12/2014,5/12/2014,44.25,43.5,43.65,-7.41,19 200,24,9
ERCOT North 345KV Peak,5/12/2014,5/13/2014,5/13/2014,37.25,36.75,37.05,-6.6,8 800,11,9
ERCOT North 345KV Peak,5/12/2014,5/13/2014,5/13/2014,37.25,36.75,37.05,-6.6,8 800,11,9
ERCOT North 345KV Peak,5/13/2014,5/14/2014,5/14/2014,35.5,35.25,35.4,-1.65,10 400,13,11
ERCOT North 345KV Peak,5/14/2014,5/15/2014,5/15/2014,37.25,37,37.03,1.63,13 600,16,12
ERCOT North 345KV Peak,5/15/2014,5/16/2014,5/16/2014,37.25,36.5,36.78,-0.25,8 000,8,9
ERCOT North 345KV Peak,5/16/2014,5/19/2014,5/19/2014,39.5,38.5,38.88,2.1,6 400,7,9
ERCOT North 345KV Peak,5/19/2014,5/20/2014,5/20/2014,40,38.25,39.1,0.22,17 600,22,15
ERCOT North 345KV Peak,5/20/2014,5/21/2014,5/21/2014,40.5,40,40.17,1.07,2 400,3,6
ERCOT North 345KV Peak,5/21/2014,5/22/2014,5/22/2014,43,42.75,42.95,2.78,4 000,5,5
ERCOT North 345KV Peak,5/22/2014,5/23/2014,5/23/2014,41.75,40.75,41.3,-1.65,16 800,15,10
ERCOT North 345KV Peak,5/23/2014,5/27/2014,5/27/2014,41.5,41,41.1,-0.2,4 000,4,5
ERCOT North 345KV Peak,5/27/2014,5/28/2014,5/28/2014,38,38,38,-3.1,800,1,2
ERCOT North 345KV Peak,5/28/2014,5/29/2014,5/29/2014,40.55,40,40.45,2.45,20 000,22,13
ERCOT North 345KV Peak,5/29/2014,5/30/2014,5/30/2014,45,43.5,44.56,4.11,24 000,22,13
ERCOT North 345KV Peak,5/30/2014,6/2/2014,6/2/2014,47.75,46.5,47.09,2.53,6 400,8,7
ERCOT North 345KV Peak,6/2/2014,6/3/2014,6/3/2014,48,47,47.4,0.31,4 000,5,6
ERCOT North 345KV Peak,6/3/2014,6/4/2014,6/4/2014,51,48.75,49.68,2.28,21 600,26,13
ERCOT North 345KV Peak,6/4/2014,6/5/2014,6/5/2014,46,45.5,45.76,-3.92,18 400,23,13
ERCOT North 345KV Peak,6/5/2014,6/6/2014,6/6/2014,44.25,42.5,43.61,-2.15,8 800,11,12
ERCOT North 345KV Peak,6/6/2014,6/5/2014,6/5/2014,46,45.5,45.76,-3.92,18 400,23,13
ERCOT North 345KV Peak,6/9/2014,6/10/2014,6/10/2014,42.5,42,42.25,-0.58,7 200,9,8
ERCOT North 345KV Peak,6/10/2014,6/11/2014,6/11/2014,45,45,45,2.75,6 400,8,7
ERCOT North 345KV Peak,6/11/2014,6/12/2014,6/12/2014,48,46,46.79,1.79,20 000,24,12
ERCOT North 345KV Peak,6/12/2014,6/13/2014,6/13/2014,44,44,44,-2.79,4 000,5,4
ERCOT North 345KV Peak,6/13/2014,6/16/2014,6/16/2014,46,46,46,2,8 800,11,8
ERCOT North 345KV Peak,6/16/2014,6/17/2014,6/17/2014,45,44.5,44.88,-1.12,6 400,8,7
ERCOT North 345KV Peak,6/17/2014,6/18/2014,6/18/2014,45,44,44.31,-0.57,3 200,4,5
ERCOT North 345KV Peak,6/18/2014,6/19/2014,6/19/2014,45.75,45,45.46,1.15,10 400,13,10
ERCOT North 345KV Peak,6/19/2014,6/20/2014,6/20/2014,47.25,46.5,47,1.54,9 600,10,10
ERCOT North 345KV Peak,6/20/2014,6/23/2014,6/23/2014,50.25,50,50.15,3.15,12 000,15,10
ERCOT North 345KV Peak,6/23/2014,6/24/2014,6/24/2014,42,41,41.75,-8.4,4 000,5,6
ERCOT North 345KV Peak,6/24/2014,6/25/2014,6/25/2014,44,43.75,43.9,2.15,4 000,5,5
ERCOT North 345KV Peak,6/25/2014,6/26/2014,6/26/2014,41,40.75,40.83,-3.07,2 400,3,3
ERCOT North 345KV Peak,6/26/2014,6/27/2014,6/27/2014,41,40.25,40.56,-0.27,3 200,4,6
ERCOT North 345KV Peak,6/27/2014,6/30/2014,6/30/2014,46.5,45,45.79,5.23,23 200,26,13
ERCOT North 345KV Peak,6/30/2014,7/1/2014,7/1/2014,46,45.5,45.87,0.08,10 400,13,11
ERCOT North 345KV Peak,7/1/2014,7/2/2014,7/2/2014,48.5,47.5,47.93,2.06,19 200,20,13
